sample,VisualFidelity,Contrastiveness,VFxContrastiveness,"Min(VF,Contrast)","Avg(VF,Contrast)",UniformRandom,FlippedProd,FlippedMin,FlippedAvg,Support,Informative,Commonsense_Plausibility,mean_ece
1,0.42643650795,0.33456966730157317,0.3148106298402346,0.29927107415678417,0.30052219058824015,0.307608733116661,0.31560695489644175,0.29002504646911165,0.340603970407047,0.310350044321549,0.5099999999999999,0.16156833109000002,0.42643650795
2,0.41930952383000003,0.3623002118025116,0.3332833890820471,0.32762258755909784,0.2603046886192643,0.26533208223401306,0.3255874897351168,0.30574848678789723,0.3289695595077572,0.32748338288467493,0.5,0.17970137627,0.41930952383000003
3,0.43383333335,0.3468635501660988,0.32862202212124386,0.3264656700374916,0.2906193100748548,0.2715068118180761,0.33405137324996687,0.2914624170741159,0.3248454547959835,0.274471448030963,0.5099999999999999,0.21621051934000002,0.43383333335
4,0.4221904762000001,0.3014536505150567,0.2587694238006404,0.2617407185930859,0.28464515144397945,0.2318823616627865,0.35583327481749266,0.37732980685072215,0.3857105248374231,0.2676037276869465,0.5,0.18988624216999994,0.4221904762000001
5,0.44721428572,0.28827406857444554,0.26943669590543995,0.26709160261107817,0.3170866592078234,0.2923497123457486,0.43199345796710537,0.41701839717821626,0.41918706487425356,0.26566668904953983,0.5,0.20493007598,0.44721428572
6,0.45558333333999995,0.3478335427624011,0.3107088988874995,0.3332873664518848,0.3199161949161386,0.19626559358549012,0.3290546976582421,0.33580523148126346,0.39152365180262805,0.27178374144932604,0.5299999999999999,0.17094263107000005,0.45558333333999995
7,0.4335714285900001,0.35592158320033496,0.32453018790624727,0.3321783106035225,0.3068552619752254,0.24496781291735736,0.33135613202164377,0.32083381227649177,0.34812893581597854,0.2669328863696137,0.5099999999999999,0.18450435219,0.4335714285900001
8,0.41204761906000004,0.33818499976067445,0.2887064796433209,0.30150454799908233,0.2733666541549543,0.29436861409613574,0.3253820493644241,0.3385459368526787,0.3654697217838884,0.2595407356748183,0.5099999999999999,0.22013263434,0.41204761906000004
9,0.44316666668000004,0.3313571711302067,0.3237233371796801,0.3155055850811172,0.2984094861164695,0.15899439103438803,0.3606019488728646,0.3479578489763615,0.33592592387438586,0.31958053136564557,0.5099999999999999,0.21516519723000002,0.44316666668000004
10,0.44672619048999995,0.3701424174029397,0.332287215187235,0.3473328764406424,0.31614902404608214,0.2257842575535363,0.34160657748784246,0.34206118725191303,0.3526149840828016,0.3510723532162956,0.5,0.11721458789000003,0.44672619048999995
11,0.42679365081,0.38427004938652604,0.3605849758318407,0.3453060741226562,0.2970634479910105,0.31105752844693874,0.30157161111553576,0.30301955696603294,0.3294948651352543,0.3334918236307567,0.5,0.18265620229999996,0.42679365081
12,0.42423809526,0.3358346453390598,0.34526437701041796,0.3303371123392695,0.2758970919510911,0.3116425619943143,0.3287468972837086,0.33329074931768465,0.3448020101557847,0.31396108184228066,0.5,0.15868811307999997,0.42423809526
13,0.44764285717,0.36007532055332514,0.34494737903333045,0.334906988791014,0.30902587987193103,0.2965499632390167,0.3573998684274374,0.36172198588873383,0.35606679863354473,0.31486803490583054,0.5,0.16002119060999995,0.44764285717
14,0.42745238096,0.3286891839244883,0.3100938378448114,0.2928198582627026,0.2838258656985637,0.2510750247637945,0.3364879985703614,0.3257914661610041,0.34969579763561887,0.3063847479823744,0.5,0.22189878765000004,0.42745238096
15,0.44072619048999995,0.39803523057476053,0.381240202317638,0.3810198575827642,0.32107985468247074,0.3017119928603127,0.28094902957035894,0.2721055592625079,0.32454225714518775,0.33040119939192664,0.5,0.23245115074999997,0.44072619048999995
16,0.43675000002000003,0.36946086906575704,0.3279202744549641,0.34447586732751057,0.3035234566890428,0.35137686278252517,0.31784609663496605,0.35929637371047024,0.34246888688320576,0.32641850685686224,0.5099999999999999,0.24673490583999996,0.43675000002000003
17,0.41980952383000003,0.3965070789665262,0.366994866165426,0.3613687026247721,0.29224174105695533,0.28386059730211366,0.28786789108936195,0.2804352798573582,0.32926828246841716,0.35385213297238804,0.5,0.20147533505999995,0.41980952383000003
18,0.41516666669,0.32508697565711137,0.29483943655198813,0.2857694199368626,0.2724975920277794,0.28860261892235967,0.3481163959741195,0.31357907809753527,0.34001057654022576,0.3227553026804526,0.5099999999999999,0.18319650290000003,0.41516666669
19,0.43715476193,0.29530061259370194,0.263782907341366,0.25230406996312127,0.3093711089172999,0.33121764605418735,0.3793040952166089,0.3617301454376792,0.353886131437229,0.29740693219995595,0.5,0.15794847458000003,0.43715476193
20,0.43600000002,0.3655290391099937,0.33106108464142886,0.3371140207557535,0.28064427246312884,0.2580347639226336,0.2712282520804145,0.27598658603376686,0.3076808261696868,0.353289879651129,0.5,0.19460968493000003,0.43600000002
21,0.42730952383000004,0.3168086022021962,0.2855157440477773,0.2778081608697779,0.30333348201198673,0.2393519200061814,0.31234222696891045,0.30945249133139,0.3269587265223525,0.3532289666826546,0.5,0.17943975686000005,0.42730952383000004
22,0.4213809524,0.332276201574227,0.3283652876408983,0.30361057007353454,0.2950279778739469,0.29944745706324327,0.2803631919087037,0.2891833104102436,0.35024693390332695,0.30101158357094393,0.5,0.19020119160000004,0.4213809524
23,0.43000000002000005,0.3506266863722713,0.3340849004321134,0.31810518967787454,0.295721258200448,0.24996196847348778,0.34528246438411403,0.33617601342864406,0.32969986976386695,0.27889063737529796,0.5,0.15570912210000004,0.43000000002000005
24,0.45657936509999997,0.35637250129648523,0.32475946968509845,0.3302030335138948,0.30245858322245744,0.2024541411975202,0.3414698801226714,0.33374144168135117,0.34738027674409216,0.277895249210269,0.5,0.19655266849999997,0.45657936509999997
25,0.4272261905,0.3172133460786008,0.3079950425369859,0.2884773074066828,0.27992681730352414,0.2703450633544879,0.3520158080269303,0.3441534121668199,0.3339522044397155,0.3181638654308335,0.5,0.19461956468000008,0.4272261905
26,0.43963095239,0.3408770256536382,0.31087815029791876,0.30824612968685794,0.3002693815592409,0.2005109276999502,0.34029389366367596,0.34667210214934097,0.34974745820773284,0.28263310045862455,0.5099999999999999,0.20287992982,0.43963095239
27,0.44204761906,0.35235657950630184,0.33160526638680776,0.32467545176478113,0.33192506386310705,0.26696593172803695,0.32235624839014543,0.3177614325579323,0.3505630601455084,0.3423600767661992,0.5099999999999999,0.18607787071,0.44204761906
28,0.41922619050000004,0.3552630151587274,0.3331408955985523,0.31325846878163766,0.2950092300904843,0.288226928233803,0.32074377629078976,0.3185111685016219,0.35059108967762365,0.2635029594990192,0.5,0.22781037506999996,0.41922619050000004
29,0.4350952381200001,0.3466718342207381,0.3172061748038088,0.32400476534518746,0.30805564409792113,0.22512265652974367,0.31192833338277237,0.33195487932584244,0.34570291421128724,0.3613893092893704,0.5099999999999999,0.14789324251999994,0.4350952381200001
30,0.43748809526000004,0.3681837371967303,0.35088314305059404,0.3502453137097776,0.2921114144565765,0.2571796489643534,0.24302717072455576,0.24443571926333896,0.31876661125046285,0.32064888856140894,0.5,0.17246149390999996,0.43748809526000004
31,0.44333333334999997,0.32049897716979997,0.3310728770783294,0.3110365825775463,0.292132624066489,0.3107417820063493,0.3661101299523568,0.34357951916865176,0.33344086167273823,0.2775101640881804,0.5,0.15434522391000002,0.44333333334999997
32,0.41714285717000005,0.35676890836295594,0.34025753295949357,0.3280395100646746,0.30203261481278604,0.1790528457701522,0.3140970136676431,0.32742331859218493,0.33205185993465713,0.30288215861524803,0.5,0.18945126295000006,0.41714285717000005
33,0.43222619050000005,0.32404214721688634,0.3137940035319628,0.30337095780204143,0.2891667773516521,0.3142476345149053,0.35342483522400103,0.3464225149169504,0.3530349042597243,0.2671956591550952,0.5,0.22113798112000005,0.43222619050000005
34,0.43054761905999994,0.3536450499723157,0.30077665792763364,0.32207425422994135,0.292775121354728,0.29818588406027063,0.3584756281687963,0.3784010434859043,0.3480554039436449,0.3016800562183198,0.5099999999999999,0.14837350873000002,0.43054761905999994
35,0.4267142857300001,0.34728685492267525,0.31448973066299357,0.30327276724204033,0.29941729373318826,0.2996520065173305,0.31311224333672977,0.3059909701106311,0.3467612099164393,0.33624363646944405,0.5099999999999999,0.14517110580999998,0.4267142857300001
36,0.4458333333500001,0.36262336015964847,0.3332188991676338,0.34179592892366045,0.30196153356049665,0.368966697060599,0.3198110673555423,0.3669680418101944,0.3391972798862232,0.28637194949493283,0.5,0.17265030978,0.4458333333500001
37,0.43105555557,0.3660381662081103,0.3452149023679933,0.3389710247556031,0.3032858807254209,0.24806344044938747,0.2998984601608767,0.3017764807909721,0.32220891819600905,0.3599328954893463,0.5099999999999999,0.17039012402,0.43105555557
38,0.42680952383,0.3429138163293947,0.3164719324822358,0.3120186825897963,0.27447412693250245,0.23616257290044496,0.3137710779857541,0.3149781753571427,0.3464129479732156,0.2736649783964094,0.5099999999999999,0.17864867117,0.42680952383
39,0.43657142859000003,0.4105616361551143,0.3842362173657303,0.3818915846789409,0.31691199677639603,0.2914135108276011,0.25301731869315475,0.24647229888991082,0.311439210540056,0.35208698380665737,0.5099999999999999,0.20835679738000004,0.43657142859000003
40,0.41880952383000003,0.3486579762831534,0.32583245990948584,0.31435517910334576,0.30141583962366814,0.21175289894100469,0.3177185687267152,0.32481291444670773,0.3379650561240882,0.3258952721991227,0.5,0.15774147244000006,0.41880952383000003
41,0.44670238098000015,0.3645873650277325,0.3707151317417724,0.34150965524890625,0.3390238334182858,0.3000434191184784,0.2775758099107335,0.27857325159920776,0.3369844771851711,0.31537217723569483,0.52,0.19247268916000004,0.44670238098000015
42,0.43873809524999996,0.35841629714024975,0.3497460343636761,0.3369612006816882,0.29314730200832756,0.3121236680263599,0.30683733786090933,0.2969970611199146,0.34222319684756075,0.33498486922690063,0.5099999999999999,0.18133834028999998,0.43873809524999996
43,0.42858333336,0.3367507732929234,0.30036347959645826,0.30522773022804345,0.29748521295432173,0.2737020928660666,0.40614602871285443,0.3927426380483218,0.3858034939880157,0.2532434159058903,0.5,0.18368110031,0.42858333336
44,0.45248809525,0.34893330766530206,0.3251115485474746,0.324710059931883,0.3227946323387038,0.22997509694239807,0.319661134380087,0.3165041510827607,0.33845860134667916,0.3905786894130688,0.5099999999999999,0.20399627151000005,0.45248809525
45,0.42116666668,0.34134615627437753,0.34543642898441945,0.30235813414313656,0.2825354049767285,0.3166552721213583,0.30555604653252727,0.28899352232705333,0.3213067381873706,0.2938266200908401,0.5,0.22573197872,0.42116666668
46,0.43846031748000003,0.3326328834890454,0.32348053764580476,0.3189717006520738,0.32872148944116875,0.30393297915659606,0.36014155031035844,0.3631844517122229,0.38167861801572145,0.2758501632475236,0.5099999999999999,0.19925866753000002,0.43846031748000003
47,0.43657142859,0.3469000030214554,0.32974239832807783,0.31296165378342883,0.2956669299701434,0.3358397649604125,0.38375205387809186,0.3582635544657223,0.3733175616167006,0.29287105555064047,0.5,0.18209039597999996,0.43657142859
48,0.44048809527000005,0.359344968278071,0.3635503920936135,0.33900036076366946,0.3418282925850083,0.25954389215479046,0.35773461102146276,0.3261042539460668,0.36290195752595733,0.34810902706363783,0.5,0.14859827246,0.44048809527000005
49,0.42758333335000004,0.3000505977412508,0.27995339644668826,0.27446625379550993,0.29197017553430954,0.28085742424577775,0.3505317974194021,0.3362577252654254,0.35522190265416237,0.2795607706293231,0.5,0.14259623943999997,0.42758333335000004
50,0.43138095239999996,0.4094183951317996,0.3935951580115558,0.38426543408626074,0.30336607104493124,0.23479845953337977,0.2639458008150121,0.25647170979077116,0.303462196001076,0.3362210497089655,0.5,0.20908576638000007,0.43138095239999996
